ONTOLOGY,ID,pathway,Biodomain
BP,GO:0048880,sensory system development,none
BP,GO:0050768,negative regulation of neurogenesis,none
BP,GO:0006140,regulation of nucleotide metabolic process,none
BP,GO:0048017,inositol lipid-mediated signaling,Lipid Metabolism
BP,GO:0006941,striated muscle contraction,none
BP,GO:0042407,cristae formation,Mitochondrial Metabolism
BP,GO:0009617,response to bacterium,none
BP,GO:0032635,interleukin-6 production,Immune Response
BP,GO:0032872,regulation of stress-activated MAPK cascade,none
BP,GO:1905330,regulation of morphogenesis of an epithelium,none
BP,GO:0045766,positive regulation of angiogenesis,Vasculature
BP,GO:0034764,positive regulation of transmembrane transport,none
BP,GO:0043010,camera-type eye development,none
BP,GO:0010508,positive regulation of autophagy,Autophagy
BP,GO:0002791,regulation of peptide secretion,none
BP,GO:0051963,regulation of synapse assembly,Synapse
BP,GO:2000310,regulation of NMDA receptor activity,Synapse
BP,GO:0032675,regulation of interleukin-6 production,Immune Response
BP,GO:0001738,morphogenesis of a polarized epithelium,none
BP,GO:0031529,ruffle organization,none
BP,GO:0099518,vesicle cytoskeletal trafficking,none
BP,GO:1904018,positive regulation of vasculature development,Vasculature
BP,GO:1901615,organic hydroxy compound metabolic process,none
BP,GO:1904377,positive regulation of protein localization to cell periphery,none
BP,GO:0042542,response to hydrogen peroxide,Oxidative Stress
BP,GO:0007416,synapse assembly,Synapse
BP,GO:0030177,positive regulation of Wnt signaling pathway,none
BP,GO:0090257,regulation of muscle system process,none
BP,GO:1902036,regulation of hematopoietic stem cell differentiation,none
CC,GO:0030135,coated vesicle,Endolysosome
BP,GO:0002250,adaptive immune response,Immune Response
MF,GO:1901981,phosphatidylinositol phosphate binding,Lipid Metabolism
BP,GO:0010766,negative regulation of sodium ion transport,none
BP,GO:0010770,positive regulation of cell morphogenesis involved in differentiation,none
BP,GO:0009142,nucleoside triphosphate biosynthetic process,none
BP,GO:0009185,ribonucleoside diphosphate metabolic process,none
BP,GO:0150115,cell-substrate junction organization,Structural Stabilization
BP,GO:0062237,protein localization to postsynapse,Synapse
BP,GO:0045807,positive regulation of endocytosis,Endolysosome
BP,GO:1901379,regulation of potassium ion transmembrane transport,none
BP,GO:0010499,proteasomal ubiquitin-independent protein catabolic process,Proteostasis
CC,GO:0045111,intermediate filament cytoskeleton,Structural Stabilization
BP,GO:0030048,actin filament-based movement,none
CC,GO:0005769,early endosome,Endolysosome
BP,GO:0001914,regulation of T cell mediated cytotoxicity,Immune Response
BP,GO:1903311,regulation of mRNA metabolic process,none
CC,GO:0030863,cortical cytoskeleton,Structural Stabilization
BP,GO:0048010,vascular endothelial growth factor receptor signaling pathway,Vasculature
BP,GO:0034612,response to tumor necrosis factor,Immune Response
MF,GO:0004298,threonine-type endopeptidase activity,Proteostasis
BP,GO:0043467,regulation of generation of precursor metabolites and energy,Mitochondrial Metabolism
CC,GO:0005774,vacuolar membrane,none
BP,GO:0010256,endomembrane system organization,none
BP,GO:0052126,movement in host environment,none
BP,GO:1902905,positive regulation of supramolecular fiber organization,none
BP,GO:0050867,positive regulation of cell activation,none
BP,GO:2000736,regulation of stem cell differentiation,none
BP,GO:0070252,actin-mediated cell contraction,none
BP,GO:0031647,regulation of protein stability,none
BP,GO:0003015,heart process,Vasculature
BP,GO:0010038,response to metal ion,Metal Binding and Homeostasis
BP,GO:0042552,myelination,Myelination
BP,GO:1900542,regulation of purine nucleotide metabolic process,Cell Cycle
BP,GO:0031345,negative regulation of cell projection organization,none
BP,GO:0090150,establishment of protein localization to membrane,none
BP,GO:0051588,regulation of neurotransmitter transport,Synapse
BP,GO:0015711,organic anion transport,none
CC,GO:0099568,cytoplasmic region,none
BP,GO:0051495,positive regulation of cytoskeleton organization,Structural Stabilization
BP,GO:0030900,forebrain development,none
CC,GO:0098562,cytoplasmic side of membrane,none
BP,GO:0051961,negative regulation of nervous system development,none
BP,GO:0097193,intrinsic apoptotic signaling pathway,Apoptosis
MF,GO:0019829,ATPase-coupled cation transmembrane transporter activity,none
BP,GO:0060491,regulation of cell projection assembly,none
BP,GO:0002703,regulation of leukocyte mediated immunity,Immune Response
BP,GO:0048675,axon extension,Synapse
BP,GO:0006882,cellular zinc ion homeostasis,Metal Binding and Homeostasis
MF,GO:0019902,phosphatase binding,none
CC,GO:0101002,ficolin-1-rich granule,none
BP,GO:1902930,regulation of alcohol biosynthetic process,none
CC,GO:1904813,ficolin-1-rich granule lumen,none
BP,GO:0032231,regulation of actin filament bundle assembly,Structural Stabilization
BP,GO:0048639,positive regulation of developmental growth,none
MF,GO:0048365,Rac GTPase binding,none
BP,GO:0006690,icosanoid metabolic process,none
BP,GO:0048678,response to axon injury,Synapse
BP,GO:1902305,regulation of sodium ion transmembrane transport,none
BP,GO:0042133,neurotransmitter metabolic process,Synapse
MF,GO:0016874,ligase activity,none
BP,GO:0098962,regulation of postsynaptic neurotransmitter receptor activity,Synapse
BP,GO:0010639,negative regulation of organelle organization,none
BP,GO:0050866,negative regulation of cell activation,none
BP,GO:0035088,establishment or maintenance of apical/basal cell polarity,none
MF,GO:0043394,proteoglycan binding,none
BP,GO:0061245,establishment or maintenance of bipolar cell polarity,none
BP,GO:0007266,Rho protein signal transduction,none
MF,GO:0042277,peptide binding,none
BP,GO:0032411,positive regulation of transporter activity,none
BP,GO:0002223,stimulatory C-type lectin receptor signaling pathway,Immune Response
BP,GO:0002685,regulation of leukocyte migration,Immune Response
BP,GO:0046651,lymphocyte proliferation,Immune Response
BP,GO:0070302,regulation of stress-activated protein kinase signaling cascade,none
BP,GO:1902307,positive regulation of sodium ion transmembrane transport,none
MF,GO:0035091,phosphatidylinositol binding,Lipid Metabolism
BP,GO:0006626,protein targeting to mitochondrion,Mitochondrial Metabolism
BP,GO:0033002,muscle cell proliferation,none
BP,GO:0002040,sprouting angiogenesis,Vasculature
BP,GO:0006936,muscle contraction,none
BP,GO:0010634,positive regulation of epithelial cell migration,none
CC,GO:0042734,presynaptic membrane,Synapse
CC,GO:0098685,Schaffer collateral - CA1 synapse,Synapse
BP,GO:0007492,endoderm development,none
BP,GO:0007568,aging,none
BP,GO:0045197,establishment or maintenance of epithelial cell apical/basal polarity,none
MF,GO:0097718,disordered domain specific binding,none
BP,GO:0070527,platelet aggregation,none
BP,GO:2000377,regulation of reactive oxygen species metabolic process,Oxidative Stress
BP,GO:0031532,actin cytoskeleton reorganization,Structural Stabilization
BP,GO:1901532,regulation of hematopoietic progenitor cell differentiation,none
BP,GO:0071349,cellular response to interleukin-12,Immune Response
BP,GO:0050714,positive regulation of protein secretion,none
CC,GO:0030669,clathrin-coated endocytic vesicle membrane,Endolysosome
BP,GO:0072676,lymphocyte migration,Immune Response
CC,GO:0000502,proteasome complex,Proteostasis
CC,GO:0043296,apical junction complex,Structural Stabilization
BP,GO:0060998,regulation of dendritic spine development,Synapse
BP,GO:0098657,import into cell,none
BP,GO:0009206,purine ribonucleoside triphosphate biosynthetic process,Cell Cycle
BP,GO:0030032,lamellipodium assembly,none
BP,GO:0051346,negative regulation of hydrolase activity,none
CC,GO:0070382,exocytic vesicle,Endolysosome
BP,GO:0048679,regulation of axon regeneration,Myelination
BP,GO:1903078,positive regulation of protein localization to plasma membrane,none
BP,GO:0022408,negative regulation of cell-cell adhesion,Structural Stabilization
BP,GO:0048679,regulation of axon regeneration,Synapse
BP,GO:0002696,positive regulation of leukocyte activation,Immune Response
BP,GO:0046942,carboxylic acid transport,none
BP,GO:0043524,negative regulation of neuron apoptotic process,Apoptosis
BP,GO:0031667,response to nutrient levels,none
BP,GO:0042136,neurotransmitter biosynthetic process,Synapse
BP,GO:1903706,regulation of hemopoiesis,none
BP,GO:0008089,anterograde axonal transport,Synapse
MF,GO:0042625,ATPase-coupled ion transmembrane transporter activity,none
MF,GO:0070003,threonine-type peptidase activity,none
CC,GO:0098802,plasma membrane signaling receptor complex,none
CC,GO:0099699,integral component of synaptic membrane,Synapse
BP,GO:0006631,fatty acid metabolic process,Lipid Metabolism
BP,GO:0006401,RNA catabolic process,none
CC,GO:0032839,dendrite cytoplasm,Synapse
BP,GO:0002687,positive regulation of leukocyte migration,Immune Response
BP,GO:0030278,regulation of ossification,none
BP,GO:0050821,protein stabilization,none
BP,GO:0070570,regulation of neuron projection regeneration,Synapse
BP,GO:0002793,positive regulation of peptide secretion,none
BP,GO:0008361,regulation of cell size,none
BP,GO:0043113,receptor clustering,none
BP,GO:2001243,negative regulation of intrinsic apoptotic signaling pathway,Apoptosis
BP,GO:0016482,cytosolic transport,none
BP,GO:0051924,regulation of calcium ion transport,none
BP,GO:0031032,actomyosin structure organization,none
BP,GO:0043410,positive regulation of MAPK cascade,none
BP,GO:0090263,positive regulation of canonical Wnt signaling pathway,none
CC,GO:1990351,transporter complex,none
MF,GO:0001540,amyloid-beta binding,APP Metabolism
BP,GO:0030595,leukocyte chemotaxis,Immune Response
BP,GO:0019722,calcium-mediated signaling,none
MF,GO:0047485,protein N-terminus binding,none
BP,GO:0071356,cellular response to tumor necrosis factor,Immune Response
BP,GO:0021953,central nervous system neuron differentiation,none
MF,GO:0022890,inorganic cation transmembrane transporter activity,none
BP,GO:0007612,learning,Synapse
MF,GO:0005178,integrin binding,Structural Stabilization
BP,GO:0022409,positive regulation of cell-cell adhesion,Structural Stabilization
BP,GO:0009145,purine nucleoside triphosphate biosynthetic process,Cell Cycle
BP,GO:1902750,negative regulation of cell cycle G2/M phase transition,Cell Cycle
CC,GO:0033178,"proton-transporting two-sector ATPase complex, catalytic domain",Endolysosome
BP,GO:0038127,ERBB signaling pathway,none
CC,GO:0005882,intermediate filament,Structural Stabilization
BP,GO:0006520,cellular amino acid metabolic process,none
MF,GO:0030955,potassium ion binding,none
BP,GO:0002521,leukocyte differentiation,Immune Response
MF,GO:0031420,alkali metal ion binding,Metal Binding and Homeostasis
BP,GO:0014013,regulation of gliogenesis,none
BP,GO:0001508,action potential,Synapse
BP,GO:0002697,regulation of immune effector process,Immune Response
BP,GO:0021537,telencephalon development,none
BP,GO:0051703,intraspecies interaction between organisms,none
BP,GO:0031343,positive regulation of cell killing,none
BP,GO:0045665,negative regulation of neuron differentiation,none
BP,GO:0061041,regulation of wound healing,none
BP,GO:0097755,positive regulation of blood vessel diameter,Vasculature
BP,GO:0009132,nucleoside diphosphate metabolic process,none
BP,GO:0045861,negative regulation of proteolysis,none
BP,GO:0060419,heart growth,none
CC,GO:0034702,ion channel complex,Synapse
BP,GO:0099072,regulation of postsynaptic membrane neurotransmitter receptor levels,Synapse
BP,GO:0007173,epidermal growth factor receptor signaling pathway,none
BP,GO:0042692,muscle cell differentiation,none
CC,GO:0031965,nuclear membrane,none
MF,GO:0005154,epidermal growth factor receptor binding,none
CC,GO:0099634,postsynaptic specialization membrane,Synapse
BP,GO:0009743,response to carbohydrate,none
BP,GO:0035176,social behavior,none
BP,GO:0086003,cardiac muscle cell contraction,Vasculature
CC,GO:0055038,recycling endosome membrane,Endolysosome
BP,GO:0034767,positive regulation of ion transmembrane transport,none
BP,GO:0035265,organ growth,none
CC,GO:0099243,extrinsic component of synaptic membrane,Synapse
BP,GO:0043462,regulation of ATPase activity,none
BP,GO:0060047,heart contraction,Vasculature
BP,GO:0060218,hematopoietic stem cell differentiation,Immune Response
BP,GO:1901568,fatty acid derivative metabolic process,none
BP,GO:0033559,unsaturated fatty acid metabolic process,Lipid Metabolism
MF,GO:0051427,hormone receptor binding,none
BP,GO:0034776,response to histamine,Synapse
BP,GO:0038094,Fc-gamma receptor signaling pathway,Immune Response
BP,GO:1903539,protein localization to postsynaptic membrane,Synapse
CC,GO:0042470,melanosome,none
CC,GO:0048770,pigment granule,none
BP,GO:0001819,positive regulation of cytokine production,Immune Response
BP,GO:0035722,interleukin-12-mediated signaling pathway,Immune Response
CC,GO:0042641,actomyosin,none
BP,GO:1901654,response to ketone,none
BP,GO:2001242,regulation of intrinsic apoptotic signaling pathway,Apoptosis
BP,GO:0008637,apoptotic mitochondrial changes,Apoptosis
BP,GO:0008637,apoptotic mitochondrial changes,Mitochondrial Metabolism
CC,GO:0031091,platelet alpha granule,none
CC,GO:0098839,postsynaptic density membrane,Synapse
BP,GO:0015849,organic acid transport,none
BP,GO:1901224,positive regulation of NIK/NF-kappaB signaling,Apoptosis
BP,GO:0070671,response to interleukin-12,Immune Response
CC,GO:0032838,plasma membrane bounded cell projection cytoplasm,none
BP,GO:0048871,multicellular organismal homeostasis,none
CC,GO:0044291,cell-cell contact zone,Structural Stabilization
BP,GO:2000649,regulation of sodium ion transmembrane transporter activity,Synapse
BP,GO:1900407,regulation of cellular response to oxidative stress,Oxidative Stress
BP,GO:0008366,axon ensheathment,Myelination
BP,GO:0007272,ensheathment of neurons,Synapse
